COG US Equity,CABOT OIL & GAS CORP,38.05,6844449
COH US Equity,COACH INC,42.01,9328220
COL US Equity,ROCKWELL COLLINS INC,79.81,1005232
COO US Equity,COOPER COS INC/THE,133.57,318365
COP US Equity,CONOCOPHILLIPS,78.11,7189262
COTY US Equity,COTY INC-CL A,15.88,525611
COV US Equity,COVIDIEN PLC,71.4,1720303
CPA US Equity,COPA HOLDINGS SA-CLASS A,132.27,653051
CPB US Equity,CAMPBELL SOUP CO,45.32,1017070
CPN US Equity,CALPINE CORP,23.5,5186376
CPT US Equity,CAMDEN PROPERTY TRUST,71.07,676112
CR US Equity,CRANE CO,73.25,475748
CRI US Equity,CARTER'S INC,72.04,461865
CRL US Equity,CHARLES RIVER LABORATORIES,52.29,1372364
CRM US Equity,SALESFORCE.COM INC,50.43,9040643
CRR US Equity,CARBO CERAMICS INC,138.97,229435
CRS US Equity,CARPENTER TECHNOLOGY,63.7,176980
CSC US Equity,COMPUTER SCIENCES CORP,58.02,883057
CSL US Equity,CARLISLE COS INC,83.77,291431
CST US Equity,CST BRANDS INC,31.64,761587
CSTM US Equity,CONSTELLIUM NV- CLASS A,30.57,308860
CSX US Equity,CSX CORP,28.06,4793514
CTL US Equity,CENTURYLINK INC,34.65,6623396
CUBE US Equity,CUBESMART,18.1,976576
CUZ US Equity,COUSINS PROPERTIES INC,11.7,1076235
CVA US Equity,COVANTA HOLDING CORP,18.81,5594713
CVC US Equity,CABLEVISION SYSTEMS-NY GRP-A,16.56,3271278
CVD US Equity,COVANCE INC,82.63,891591
CVG US Equity,CONVERGYS CORP,21.61,387801
CVI US Equity,CVR ENERGY INC,49.17,632758
CVRR US Equity,CVR REFINING LP,28.23,840333
CVS US Equity,CVS CAREMARK CORP,75.9,5480169
CVX US Equity,CHEVRON CORP,126.23,5436267
CW US Equity,CURTISS-WRIGHT CORP,67.75,218291
CWH US Equity,COMMONWEALTH REIT,25.77,3124796
CXO US Equity,CONCHO RESOURCES INC,134.6,1188991
CXP US Equity,COLUMBIA PROPERTY TRUST INC,28.49,1050738
CXW US Equity,CORRECTIONS CORP OF AMERICA,33.5,669560
CYH US Equity,COMMUNITY HEALTH SYSTEMS INC,37,4636103
CYN US Equity,CITY NATIONAL CORP,71.4,299790
CYT US Equity,CYTEC INDUSTRIES INC,98.04,210564
CZZ US Equity,COSAN LTD-CLASS A SHARES,12.25,1158187
D US Equity,DOMINION RESOURCES INC/VA,72.21,1942707
DAL US Equity,DELTA AIR LINES INC,38.24,10518652
DAN US Equity,DANA HOLDING CORP,21.07,1939287
DAR US Equity,DARLING INTERNATIONAL INC,19.85,1005948
DATA US Equity,TABLEAU SOFTWARE INC-CL A,56.36,4383236
DBD US Equity,DIEBOLD INC,36.45,967703
DCI US Equity,DONALDSON CO INC,42.3,431645
DCT US Equity,DCT INDUSTRIAL TRUST INC,7.71,6800519
DD US Equity,DU PONT (E.I.) DE NEMOURS,68.05,3330623
DDD US Equity,3D SYSTEMS CORP,49.11,3479305
DDR US Equity,DDR CORP,17.29,4181475
DDS US Equity,DILLARDS INC-CL A,94.52,392682
DE US Equity,DEERE & CO,94.53,2812835
DECK US Equity,DECKERS OUTDOOR CORP,76.33,705362
DEI US Equity,DOUGLAS EMMETT INC,27.66,1857662
DFS US Equity,DISCOVER FINANCIAL SERVICES,56.73,2353192
DG US Equity,DOLLAR GENERAL CORP,56.76,3648623
DGI US Equity,DIGITALGLOBE INC,32.03,786785
DGX US Equity,QUEST DIAGNOSTICS INC,55.9,3337624
DHI US Equity,DR HORTON INC,22.42,7110026
DHR US Equity,DANAHER CORP,72.81,3130488
DIS US Equity,WALT DISNEY CO/THE,80.29,11907798
DK US Equity,DELEK US HOLDINGS INC,32.27,742104
DKS US Equity,DICK'S SPORTING GOODS INC,51.25,861059
DLB US Equity,DOLBY LABORATORIES INC-CL A,39.01,567679
DLPH US Equity,DELPHI AUTOMOTIVE PLC,67.52,1158215
DLR US Equity,DIGITAL REALTY TRUST INC,55.79,2806483
DLX US Equity,DELUXE CORP,55.03,352377
DNB US Equity,DUN & BRADSTREET CORP,106.36,347699
DNP US Equity,DNP SELECT INCOME FUND INC,10.07,346447
DNR US Equity,DENBURY RESOURCES INC,17.3,6000323
DO US Equity,DIAMOND OFFSHORE DRILLING,52.61,1044502
DOV US Equity,DOVER CORP,85.96,799805
DOW US Equity,DOW CHEMICAL CO/THE,49.52,5097005
DPM US Equity,DCP MIDSTREAM PARTNERS LP,55.39,392299
DPS US Equity,DR PEPPER SNAPPLE GROUP INC,56.68,1385799
DPZ US Equity,DOMINO'S PIZZA INC,71.55,504827
DRC US Equity,DRESSER-RAND GROUP INC,61.79,542224
DRE US Equity,DUKE REALTY CORP,17.54,2823548
DRH US Equity,DIAMONDROCK HOSPITALITY CO,12.29,1608431
DRI US Equity,DARDEN RESTAURANTS INC,49.2,1331843
DRQ US Equity,DRIL-QUIP INC,114.19,209745
DSL US Equity,DOUBLELINE INCOME SOLUTIONS,21.97,265873
DST US Equity,DST SYSTEMS INC,89.84,618745
DSW US Equity,DSW INC-CLASS A,32.83,1753157
DTE US Equity,DTE ENERGY COMPANY,79.32,1152675
DUK US Equity,DUKE ENERGY CORP,73.82,2520169
DV US Equity,DEVRY EDUCATION GROUP INC,45,801139
DVA US Equity,DAVITA HEALTHCARE PARTNERS I,67.78,748994
